Designator,Footprint,Quantity,Value,LCSC Part #,JLCPCB
C3,C_0603_1608Metric,1,0.1uf,,C28233
R3,R_0603_1608Metric,1,10K,,C25804
C5,C_1206_3216Metric,1,22uf,,C12891
C6,C_1206_3216Metric,1,22uf,,C12891
R1,R_0603_1608Metric,1,10K,,C25804
U1,SOT-23-6,1,TPS563200,C97253,C97253
C2,C_0805_2012Metric,1,10uf,,C15850
C7,CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder,1,47uf,,C688949
R2,R_0603_1608Metric,1,33.2K,,C4216
L1,L_5.5x5.5,1,3.3uh,,C436534
C1,C_0805_2012Metric,1,10uf,,C15850
C4,C_0603_1608Metric,1,0.1uf,,C28233
